,Aspect,BulkDensity,ClayPercentage,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,OrganicCarbon,PhCaCL,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
SCCS154,0.423945377,0.48021869,0.883178181,0.889760605,-0.081330742,-0.288040458,-1.238170381,0.427062298,0.941985023,0.958582728,1.034398988,0.46281603,1.084960762,1.2316512,0.59290257,-1.301315703,0.265936097,0.57893138,0.988734018,-0.314455239,0.081249175,0.224875249,0.893425272,0.049850452,1.43776999,-1.232734253,0.360923277,1.069224744,-1.271704102,0.730341521,0.809680179,0.483070258,1.039176543,0.326159643,0.484140229,0.121482084,0.222673506,0.396496851,0.20149276,0.373244125,-0.147893976
SCCS155,0.387672003,0.477618754,0.859018155,0.85864612,0.044772712,-0.374072026,-1.132645308,0.354747616,0.887375974,0.897287326,0.968790184,0.465148923,1.012604917,1.136388074,0.672920992,-1.121856874,0.321387778,0.46225152,0.924391105,-0.33058755,0.168523452,0.314689714,0.849415352,0.118581277,1.321071066,-1.130783953,0.393291118,0.999097879,-1.152116934,0.596629565,0.829957348,0.491928848,0.973850538,0.244316185,0.407194768,0.040665742,0.284858435,0.324663297,0.11265155,0.250790402,-0.13912617
SCCS157,-0.022477238,0.166820321,0.497688723,0.743673754,0.059264266,0.372690786,-1.063758456,0.926550285,0.934950147,0.919579456,0.972180822,0.653222358,0.916456657,0.960552682,0.66307182,-0.838703345,0.329280041,0.41165963,0.955078177,-0.132816129,-0.175007482,0.290929917,0.892913476,-0.106874995,0.995825204,-1.05918103,0.528726195,1.014204381,-1.085936577,0.737727928,0.818266572,0.630439843,0.984479781,1.083269073,1.250021893,0.283960199,0.249130022,1.317051259,0.326996489,0.833693987,0.375190283
SCCS158,0.000308267,0.163701682,0.590005249,0.757937793,-0.11800625,0.540084775,-1.117662551,1.141838614,0.97909329,0.986278835,1.014533831,0.665931803,1.033505426,1.010814601,0.705035486,-0.911286904,0.285288098,0.427622828,1.004287312,-0.15251696,-0.216650591,0.600307404,0.921234979,-0.087608882,1.085697747,-1.107394513,0.509660788,1.046535026,-1.143744648,0.798819735,0.84729099,0.632002342,1.019175532,1.306522612,1.485054727,0.477939861,0.323798131,1.542952889,0.530739361,1.365724127,0.470086347
SCCS159,0.204102398,0.120907688,0.198612842,0.117792463,0.42601186,-0.540526206,-0.224199233,-0.254399451,0.123189416,0.057741405,0.223627056,0.257429558,0.103806491,-0.014264617,0.257945552,0.206639204,0.197626528,-0.024659376,0.155891052,-0.162269479,0.509615613,0.370964957,0.266256997,-0.056845904,0.001801219,-0.228737167,0.225422656,0.297607115,-0.273285882,-0.004705055,0.35917583,0.258777093,0.259754943,-0.315308798,-0.292310112,-0.216714249,0.16154058,-0.289231998,-0.229774769,-0.366469913,-0.14213007
SCCS16,0.109598172,0.365442632,0.560336936,0.868575195,0.277112528,-0.155418846,-1.035249403,0.470979407,0.937200816,0.934903703,0.948488832,0.636070693,0.884236369,1.172090444,0.806200573,-1.046247889,0.407063242,0.333279357,0.956694066,-0.269550727,-0.125303058,0.076929239,0.882430747,0.112493373,1.110613989,-1.039591977,0.575954188,0.991506991,-1.02350305,0.628214931,0.847961764,0.643291466,0.976644936,0.490900948,0.759260716,-0.207207414,0.491836376,0.696010466,-0.140145294,0.00751539,0.773778678
SCCS160,0.453857291,0.407433072,0.742860338,0.764358432,0.032267224,-0.369124115,-1.037471882,0.278149202,0.799868539,0.807822541,0.883044143,0.441341889,0.900284723,1.024023364,0.530326643,-1.042194477,0.264097581,0.513321948,0.84612014,-0.297936293,0.16394451,0.231847926,0.781313193,0.057138304,1.183593943,-1.033363851,0.348226973,0.920850438,-1.071093402,0.631990956,0.717564218,0.456163281,0.891542652,0.170881794,0.319087898,0.012879808,0.304124689,0.244539473,0.072770157,0.222057265,-0.172180773
SCCS163,-0.005447084,0.062264261,0.749314564,0.698378009,-0.542744886,1.007665385,-1.162948604,1.785035375,1.067353613,1.082534158,1.027484753,0.80971783,1.079737746,1.013117288,0.590718078,-1.161164861,0.105525122,0.362213947,1.066601213,-0.166816773,-0.487256002,0.182383765,0.983914429,-0.543885245,1.130227303,-1.147873327,0.474047224,1.141063069,-1.299767193,0.895897784,0.884873393,0.691855458,1.073428902,1.916758867,1.899437537,1.002757416,-0.009695247,1.946492208,1.063124568,1.80112944,0.920588143
SCCS168,-0.045094832,0.015196593,0.725860751,0.376579063,-0.549438598,0.863198113,-0.87083295,1.138325251,0.750197509,0.73399507,0.752709669,0.691261527,0.869758325,0.546619117,0.267588835,-0.700938018,-0.019503695,0.135196999,0.744449221,-0.117994378,-0.172798507,0.294072429,0.757552016,-0.715293092,0.543925565,-0.853671157,0.31830623,0.892522336,-1.050544634,0.653142927,0.653013961,0.547579213,0.813168256,1.409665854,1.463212626,0.751118461,-0.194046216,1.483391213,0.789236221,1.681330593,0.472493593
SCCS169,0.025866658,0.107806381,0.757194247,0.743193491,-0.485783801,0.880529994,-1.205522843,1.643754859,1.042444225,1.050950325,1.042438048,0.712274797,1.044760865,1.05955889,0.630891697,-1.187201415,0.132015494,0.407909738,1.053045833,-0.1409608,-0.502990879,0.117280394,0.967096129,-0.407693852,1.263327829,-1.1910563,0.452531245,1.136317371,-1.306979732,0.833720438,0.889053385,0.635784825,1.078576934,1.765673482,1.657096005,0.892930458,-0.108317387,1.712434578,0.964718655,1.373554396,0.965558958
